id,model,type,working_resistance,height_min,height_max,manufacturer,created_at,center_dist,canopy_len,intensity,initial_force,floor_pressure,weight,source,data_status
107,ZY9000/15/32,掩护式,9000,1.50,3.20,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.22,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
108,ZY9000/18/38,掩护式,9000,1.80,3.80,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.22,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
109,ZY9000/24/50,掩护式,9000,2.40,5.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.055,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.02～1.09 | 控顶长度按架型经验估算,verified
110,ZY9000/25.5/55,掩护式,9000,2.55,5.50,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.07,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
111,ZY10500/11/22D,掩护式,10500,1.10,2.20,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.43,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
112,ZY10000/17/35D,掩护式,10000,1.70,3.50,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.36,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
113,ZY12000/16/32D,掩护式,12000,1.60,3.20,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
114,ZY12000/25/50D,掩护式,12000,2.50,5.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.13~1.29,,,,采矿与安全工程学报7.0m支架综采面矿压论文表1(活鸡兔21305) 原始值:1.13~1.29 | 控顶长度按架型经验估算,verified
115,ZY12000/18/50D,掩护式,12000,1.80,5.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.43,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
116,ZY13000/28/60D,掩护式,13000,2.80,6.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.55,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
117,ZY15000/26/50D,掩护式,15000,2.60,5.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.57~1.64,,,47.0,矿鸿官网大柳塔活鸡兔井22206-1面报道 原始值:1.57~1.64MPa | 控顶长度按架型经验估算,verified
118,ZY15000/29/60D,掩护式,15000,2.90,6.00,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.79,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
119,ZY15000/29/63D,掩护式,15000,2.90,6.30,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.79,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
120,ZY15000/33/67D,掩护式,15000,3.30,6.70,郑煤机,2026-07-31 15:31:24,1.75,4.80,1.79,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
121,ZY18000/26.5/50D,掩护式,18000,2.65,5.00,郑煤机,2026-07-31 15:31:24,2.05,4.80,1.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
122,ZY18000/28/55D,掩护式,18000,2.80,5.50,郑煤机,2026-07-31 15:31:24,2.05,4.80,1.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
123,ZY18000/29/60D,掩护式,18000,2.90,6.00,郑煤机,2026-07-31 15:31:24,2.05,4.80,1.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
124,ZY21000/34/72D,掩护式,21000,3.40,7.20,郑煤机,2026-07-31 15:31:24,2.05,4.80,2.13,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
125,ZY9000/20/40D,掩护式,9000,2.00,4.00,平煤机,2026-07-31 15:31:24,1.50,4.80,1.0225,,,,煤矿机械2023(千米埋深1.5m中心距设计) | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.0～1.045 | 控顶长度按架型经验估算,verified
126,ZY12000/32.5/72,掩护式,12000,3.25,7.20,北京开采设计分院,2026-07-31 15:31:24,1.75,4.80,1.43,,,,"国产大采高液压支架研究现状(矿业科学学报) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验… | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
127,ZY5200/12/28,掩护式,5200,1.20,2.80,,2026-07-31 15:31:24,1.50,4.20,0.695,3879,0.8~1.45,,宁夏发改委稳评报告(技术特征表) | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.62～0.77 | 控顶长度按架型经验估算,verified
128,ZYG5200/12/28,掩护式(过渡),5200,1.20,2.80,,2026-07-31 15:31:24,1.50,4.40,0.57,3876,,,宁夏发改委稳评报告 | 国家矿山安监局公开评估报告 原始值:0.50～0.64 | 控顶长度按架型经验估算,verified
129,ZYT5200/15/30D,端头支架,5200,1.50,3.00,,2026-07-31 15:31:24,1.50,4.40,0.525,,,,宁夏发改委稳评报告 | 国家矿山安监局公开评估报告 原始值:0.45～0.6 | 控顶长度按架型经验估算,verified
130,ZY10800/28/63D,掩护式,10800,2.80,6.30,国产,2026-07-31 15:31:24,1.75,4.80,1.08,,,,煤炭科学技术(大采高智能工作面跟机控制) | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.04～1.12 | 控顶长度按架型经验估算,verified
131,ZY18900/36/72D,掩护式,18900,3.60,7.20,兰煤机,2026-07-31 15:31:24,,4.80,1.585,,,70.0,"兰州煤机产品页(支护强度1.55-1.62,70t) | 林州重机官网产品页 原始值:1.55～1.62MPa, 70t | 厂商标称3.2-8.0… | 控顶长度按架型经验估算",suspect
132,ZY13000/25/50D,掩护式,13000,2.50,5.00,三一重装,2026-07-31 15:31:24,1.75,4.80,1.55,,,,"浅谈ZY13000/25/50D研制(缸径420mm) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长… | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
133,ZY8000/17.5/35,掩护式,8000,1.75,3.50,三一重装,2026-07-31 15:31:24,1.75,4.20,1.09,7912,,,"煤矿工作面设计(安全工程专业) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
134,ZF7200/20/32,放顶煤,7200,2.00,3.20,三一重装,2026-07-31 15:31:24,1.50,5.20,0.98,6182,,,综放工作面安装作业规程 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.95～1.01 | 控顶长度按架型经验估算,verified
135,ZF6400/16/30Q,放顶煤(大倾角),6400,1.60,3.00,河南能源重装,2026-07-31 15:31:24,1.50,5.20,0.82,,,,"河南能源重装公司报道 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
136,ZFA10000/22/35D,放顶煤(低位),10000,2.20,3.50,河南能源重装,2026-07-31 15:31:24,1.50,5.40,1.23,,,,"河南能源重装公司报道 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
137,ZF8600/20/38,放顶煤,8600,2.00,3.80,,2026-07-31 15:31:24,1.50,5.40,1.06,,,,"上榆泉煤矿机电装备简介 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
138,ZY6600/19/39,掩护式,6600,1.90,3.90,,2026-07-31 15:31:24,1.50,4.20,1.05,,,,"上榆泉煤矿机电装备简介 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
139,ZY2000/06/15,掩护式,2000,0.60,1.50,,2026-07-31 15:31:24,1.50,3.90,0.34,,,,"煤矿支护手册 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
140,ZYL2200/06/17,掩护式,2200,0.60,1.70,,2026-07-31 15:31:24,1.50,3.90,0.38,,,,"煤矿支护手册 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
141,ZYQ1700/09/22,掩护式(轻型),1700,0.90,2.20,,2026-07-31 15:31:24,1.50,4.20,0.27,,,,"煤矿支护手册 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
142,ZYQ1860/12/26,掩护式(轻型),1860,1.20,2.60,,2026-07-31 15:31:24,1.50,4.20,0.3,,,,"煤矿支护手册 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
143,ZY2000/10/26,掩护式,2000,1.00,2.60,,2026-07-31 15:31:24,1.50,4.20,0.32,,,,"煤矿支护手册 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
144,ZYR200/16/32,掩护式,200,1.60,3.20,,2026-07-31 15:31:24,1.50,4.20,0.47~0.53,1595,,7.02,煤矿支护手册 | 控顶长度按架型经验估算,verified
145,ZY2500/13/32,掩护式,2500,1.30,3.20,,2026-07-31 15:31:24,1.50,4.20,0.41~0.45,1960,,8.3,煤矿支护手册 | 控顶长度按架型经验估算,verified
146,ZY3200/13/32,掩护式,3200,1.30,3.20,,2026-07-31 15:31:24,1.50,4.20,0.485,2354,,8.7,"煤矿支护手册 | 《煤矿支护手册》支护强度0.4~0.57MPa取中值,重8.7t; 开滦矿资料0.47~0.58MPa佐证 | 控顶长度按架型经验估算",verified
147,ZY10800/30/65D,,10800,3.00,6.50,,2026-09-10 15:56:23,1.75,4.80,1.05~1.08,,,,"文献: 纵帅等,煤矿机械2013(34)04 | 控顶长度按架型经验估算",verified
148,ZY12000/25/55D,,12000,2.50,5.50,,2026-09-10 15:56:23,1.75,4.80,1.1~1.2,,,,"文献: 许梦斌,煤炭技术2022(41)07 | 控顶长度按架型经验估算",verified
149,ZF15000/23/43,,15000,2.30,4.30,,2026-09-10 15:56:23,,5.40,1.46,,,,"文献: 查文华等,中国安全生产科学技术2014(10)08 | 控顶长度按架型经验估算",verified
150,ZZ6000/17/32,,6000,1.70,3.20,,2026-09-10 15:56:23,,3.90,,,,,"文献: 闫振东,煤炭科学技术2012(40)11 | 控顶长度按架型经验估算",verified
151,ZY6800/19/40,,6800,1.90,4.00,,2026-09-10 15:56:23,,4.80,,,,,"文献: 陈贵等,煤矿机械2011(32)04 | 控顶长度按架型经验估算",verified
152,ZF7200/17/33,,7200,1.70,3.30,,2026-09-10 15:56:23,,5.20,,,,,"文献: 王鑫海,山东煤炭科技2023(06) | 控顶长度按架型经验估算",verified
153,ZY7000/09/18D,,7000,0.90,1.80,,2026-09-10 15:56:23,,4.20,,,,,"文献: 宋启等,煤矿机械2015(36)07 | 控顶长度按架型经验估算",verified
154,ZY4000/09/20,,4000,0.90,2.00,,2026-09-10 15:56:23,,4.20,,,,,"文献: 宋启等,煤矿机械2015(36)07 | 控顶长度按架型经验估算",verified
155,ZY10000/22/45D,,10000,2.20,4.50,,2026-09-10 15:56:23,1.75,4.80,1.19,,,,"文献: 张陟学位论文,中国矿业大学2023(表4-1作ZY7800/22/45D,与正文不一致,以正文实际生产为准) |… | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
156,ZF9000/24/40,,9000,2.40,4.00,,2026-09-10 15:56:23,,5.40,,,,,"文献: 乔粉先,2019(09) | 控顶长度按架型经验估算",verified
160,ZFY18000/27/50,,18000,2.70,5.00,,2026-09-10 16:33:29,1.75,5.40,1.4~1.5,,,,文献:长城煤矿在用(郝翰等) | 控顶长度按架型经验估算,verified
161,ZY2400/10/26,,2400,1.00,2.60,,2026-09-10 16:33:29,1.50,4.20,0.38,,,,"文献:徐万军等,通安煤矿Ⅲ上煤 | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
162,ZY10000/26/56,,10000,2.60,5.60,,2026-09-10 16:33:29,1.75,4.80,1.13~1.19,,,,"文献:孟庆坤,淮北三软煤层设计参数,非生产实测 | 控顶长度按架型经验估算",verified
163,ZY10660/11/22,掩护式,10660,1.10,2.20,,2026-09-15 16:06:30,,,,,,,"任艳芳,采矿与岩层控制工程学报2020,2(3):036012",verified
164,ZY3300/07/13D,掩护式,3300,0.70,1.30,天地科技,2026-09-15 16:06:30,1.50,,0.42~0.48,2618,1.74~1.76,8.7,"谢德瑜,煤矿开采2011,16(5):59-60;初撑力2618kN(31.5MPa)",verified
165,ZY2400/09/20,掩护式,2400,0.90,2.00,,2026-09-15 16:06:30,,,,2185,,,"盛国军等,煤炭学报2007,32(3):230-234;原文型号ZY2400-0.9/2.0,支架宽1.43~1.60m",verified
166,ZY6800/16/35D,掩护式,6800,1.60,3.50,,2026-09-15 16:06:30,,,,,,,"郑伟卫,2024(10):101-105;选型计算最小支护强度0.3328MPa、阻力需求2645.76kN;电液控郑煤机ZE0704,支架厂商原文未述",verified
167,ZF9000/18/35,放顶煤(低位),9000,1.80,3.50,,2026-09-15 16:06:30,1.50,,1.10,7760,2.72,,"赵杰,2023(5):215-217;移架步距600mm",verified
168,ZZ6400/19/42D,支撑掩护式,6400,1.70,3.50,,2026-09-15 16:06:30,1.50,,0.75~0.8,5232,2.3~2.5,,"郭超等,煤炭与化工2023,46(5):71-74;高度按原文参数表1.7~3.5m,与型号段/19/42不一致,留痕;移架步距630mm;适应倾角<45°",verified
169,ZY8000/25/50,掩护式,8000,2.50,5.00,,2026-09-15 16:06:30,1.75,,1.09,6392,,,"陈贵廷,煤炭与化工2020,43(5):97-98,107;初撑力原文2.1.4节'639kN'系印刷错误,取参数表6392kN",verified
170,ZFY15000/24/43D,放顶煤(两柱掩护),15000,2.40,4.30,,2026-09-15 16:06:30,1.75,,1.63,11928,,49.0,"杜伟剑等,煤炭与化工2022,45(2):62-66,70",verified
171,ZZ13000/24/50,支撑掩护式,13000,2.40,5.00,,2026-09-15 16:06:30,1.75,,1.28~1.33,10128,3.55,,"康志鹏等,煤矿机械2022,43(6):131-134;选型计算需求阻力12000kN;正文中心距1700mm与参数表1.75m矛盾,取参数表;移架步距0.8m;原文η取0.95",verified
